M : P,SENSOR 1,SENSOR 2,SENSOR 3,SENSOR 4,SENSOR 6,SENSOR 8
98:2,0.0507801264,0.001078655489,0.04472034769,0.03701447978,0.04337782751,0.04269221676
96:4,0.08451944372,0.06653844897,0.07487180521,0.05542183338,0.08885917497,0.06407169907
95:5,0.02272027658,0.08796609628,0.01860889495,0.0356703013,0.01833613293,0.00882162703
94:6,0.01849997488,0.1097519674,0.03643771364,0.04706171188,0.05595366275,0.06335016564
92:8,0.0818388453,0.2366744959,0.1257463514,0.1288357999,0.1688788355,0.1615467855
90:10,0.1199783879,0.2874270555,0.1979412327,0.1528942206,0.2449868788,0.2235492204
85:15,0.254146492,0.2601462553,0.6432268878,0.2816333299,0.5725622465,0.5210154607
80:20,0.2932743862,0.4099508356,0.7747527968,0.3189862038,0.5585106753,0.4952694731
75:25,0.2828730492,0.5232098624,0.7080194061,0.3311307991,0.538266436,0.465531165
70:30,0.2735248828,0.5613133636,0.5183648208,0.4253891291,0.5401922897,0.497510693
50:50,0.2711939106,0.4990443936,0.5680158565,0.3364782029,0.5296723167,0.4645433518
00:100,0.3503536731,0.2212800388,0.6376368656,0.2669240888,0.4641154892,0.4200814306
98:2,0.0507801264,0.001078655489,0.04472034769,0.03701447978,0.04337782751,0.04269221676
96:4,0.08451944372,0.06653844897,0.07487180521,0.05542183338,0.08885917497,0.06407169907
95:5,0.02272027658,0.08796609628,0.01860889495,0.0356703013,0.01833613293,0.00882162703
94:6,0.01849997488,0.1097519674,0.03643771364,0.04706171188,0.05595366275,0.06335016564
92:8,0.0818388453,0.2366744959,0.1257463514,0.1288357999,0.1688788355,0.1615467855
90:10,0.1199783879,0.2874270555,0.1979412327,0.1528942206,0.2449868788,0.2235492204
85:15,0.254146492,0.2601462553,0.6432268878,0.2816333299,0.5725622465,0.5210154607
80:20,0.2932743862,0.4099508356,0.7747527968,0.3189862038,0.5585106753,0.4952694731
75:25,0.2828730492,0.5232098624,0.7080194061,0.3311307991,0.538266436,0.465531165
70:30,0.2735248828,0.5613133636,0.5183648208,0.4253891291,0.5401922897,0.497510693